datetime_gps latitude longitude altitude velocity_gps
2017-12-15-22-56-52-123456 53.0571713 8.8167359 0.0 5.0
2017-12-18-22-56-52-123456 53.9571713 8.9167359 10.0 15.0
2017-12-18-22-56-52-123456 53.9571713 8.9167359 10.0 15.0
2017-12-18-22-56-52-123456 53.9571713 8.9167359 10.0 15.0
2017-12-18-22-56-52-123456 53.9571713 8.9167359 10.0 15.0
2017-12-18-22-56-52-123456 53.9571713 8.9167359 10.0 15.0
2017-12-18-22-56-52-123456 53.9571713 8.9167359 10.0 15.0
2017-12-18-22-56-52-123456 53.9571713 8.9167359 10.0 15.0
2017-12-18-22-56-52-123456 53.9571713 8.9167359 10.0 15.0
2017-12-18-22-56-52-123456 53.9571713 8.9167359 10.0 15.0
2017-12-18-22-56-52-123456 53.9571713 8.9167359 10.0 15.0
2017-12-18-22-56-52-123456 53.9571713 8.9167359 10.0 15.0
2017-12-18-22-56-52-123456 53.9571713 8.9167359 10.0 15.0
2017-12-18-22-56-52-123456 53.9571713 8.9167359 10.0 15.0
2017-12-18-22-56-52-123456 53.9571713 8.9167359 10.0 15.0
2017-12-18-22-56-52-123456 53.9571713 8.9167359 10.0 15.0
2017-12-18-22-56-52-123456 53.9571713 8.9167359 10.0 15.0
2017-12-18-22-56-52-123456 53.9571713 8.9167359 10.0 15.0
